
=== Global Cycle 1 | BusLocked=0 | BusFreeAt=0 | BusOwner=-1 ===
[Cycle 1] Core 0 granted BUS (requested at cycle 0)
[Cycle 1] BUS will be held for 100 cycles, free at cycle 101
========== Cycle 1 ==========
Core 0: READ 0x7e1afe78 - MISS [Set: 51, Tag: 0xfc35f] State: E | Exec time: 101 cycles | Idle time: 0 cycles
  → Bus: Cache-to-cache transfer
================================


=== Global Cycle 2 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 3 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 4 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 5 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 6 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 7 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 8 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 9 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 10 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 11 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 12 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 13 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 14 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 15 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 16 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 17 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 18 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 19 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 20 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 21 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 22 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 23 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 24 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 25 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 26 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 27 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

=== Global Cycle 28 | BusLocked=1 | BusFreeAt=101 | BusOwner=0 ===

